Task Name,Model Associated,Order,Description,Tcode Associated
Run Settlement WBS to AUC,"9.4.2.4 Close/capitalize projects (Z2, Z3, 50) 1.00",13,"WBS: Work Breakdown Structure (aka project)
AUC: Assets Under Construction",Fiori CJ88: Run Settlement - Projects - Actual for Cost Accountant - Overhead (Application)
Save cost estimate,9.1.2.4 -NEW BUY Perform product costing (New Buy Part) 1.00,26,This task/step is automated and performed by program.,SAP ZFI_STDCOST_UPD: Material Cost and P-S Status Update (Application)
Save cost estimate,9.1.2.4 -NEW BUY Perform product costing (New Buy Part) 1.00,11,This task/step is automated and performed by program.,SAP ZFI_STDCOST_UPD: Material Cost and P-S Status Update (Application)
Save cost estimate without release,9.1.2.4 -EXT BUY Perform product costing (Existing Buy Part) 1.00,42,,SAP ZFI_STDCOST_UPD: Material Cost and P-S Status Update (Application)
Save Sales Contract,3.5.4.5B Enter sales contracts into system 1.00,15,,
Save sales order,3.5.4.5A Enter Sales Orders into system 1.00,45,"Upon Save, a Customer credit check will take place that may raise a flag and block progress.
credit check does not take place for return orders and credit memo request","Fiori VA01: Create Credit Memo Requests - W/o Preceding Document. Create Customer Return Without Reference - VA01. Create Debit Memo Requests - W/o Preceding Document. Create Sales Orders. Create Sales Orders - Intercompany. Create Sales Orders (Application),
Fiori VA02: Change Credit Memo Request. Change Debit Memo Request. Change Sales Order Without Charge. Change Sales Orders. Change Sales Orders - VA02 (Application)"
Save Simulation,4.3.1.4 Reschedule Production Orders 2.00,27,,
Save the Task List,4.1.8.2D Create Equipment Task List 2.00,7,"Once all details are entered, save the task list.",Fiori IA01: Create Equipment Task List (Application)
Scan and upload evidence to Sharepoint,4.3.2.2B Execute detailed line schedule (Assembly Testing) 2.00,33,,
Scan invoice/ credit memo / downpayment,9.6.1.3 -Non-PO Audit invoices and key data in AP system (Non-PO) 1.00,3,,
Schedule and Assign Service Tasks in WFM,5.3.1.7 -KM Create Service Order ZMKM: Complete Kit Management 2.00,18,"Key Activities:
In WFM assign the CKM Service Order’s to a FSE to execute the action
update complete service order.",SAP WFM: Work Force Management (Application)
Schedule and Assign Service Tasks in WFM,5.3.1.7 -IQ Create Service Order ZMIQ: Install & Qualification 2.00,5,"Key Activities:
Service manager to Assign/Re-assign Activities to FSE in WFM.",SAP WFM: Work Force Management (Application)
Schedule bi-weekly call to review report with Planning Managers,9.1.2.1 -MTHLY PDT VAR Perform inventory accounting (Monthly Production Variance) 1.00,5,This is done twice monthly (mid of the month & during month end close WD2 or WD3),
Schedule Calibration of Test Equipment,4.1.8.2C Create Calibration Plan and schedule 2.00,10,"Once the creation of the Maintenance Plan is complete, the Maintenance Schedule will be automatically generated for the calibration tasks
Enter the Maintenance plan number and press enter
Under scheduled calls enter the start of the cycle and press enter. Planned date is automatically calculated from ‘Start of cycle’ to Cycle time which we have mentioned in the Calibration plan. Call Date is based on call horizon percentage",Fiori IP10: Schedule Maintenance Plan (Application)
Schedule GL jobs for Balance Carryforward,9.3.1.5 Establish common financial systems (FCC) 1.00,9,Schedule GL jobs for Balance Carryforward for current year-end balance to next year opening balance,
Schedule Lead Time Classification of Products,4.1.1.6 -DDMRP Define Production Network & Supply Constraints 2.00,5,,Fiori F2871: Schedule Lead Time Classification of Products (DD) for Production Planner (Application)
Schedule LTP Run,4.1.3.1 -FCST Create Unconstrained Plan 3.00,16,This is a background job not executed by Forecaster.,Fiori MS04: Monitor LTP Stock/Requirements (Application)
Schedule Product Classification,4.1.1.6 -DDMRP Define Production Network & Supply Constraints 2.00,2,,Fiori F2823: Schedule Product Classification (DD) for Production Planner (Application)
Schedule recurring entry in Balance Sheet Reconciliation,9.3.2.2 -JE Process journal entries 1.00,20,Able to select start and end date in Blackline schedule,BlackLine BlackLine: (Financial Closing) (Application)
Schedule Service Assignment (assign tasks to FSE's),5.3.1.7 -CO Create Service Order ZMCO: field Change Order 3.00,18,"Key Activities:
Assign activities to FSE in WFM",SAP WFM: Work Force Management (Application)
Schedule Service Assignment (task),5.3.1.7 -PS Create Service Order ZMPS: Product Support 1.00,5,"Key Activities:
Service manager to assign activities to FSE in WFM",SAP WFM: Work Force Management (Application)
Schedule Service Assignment (task),5.3.1.7 -PS_SSD Create Service Order ZMPS: PS Short Shipment Deviation 1.00,21,"Key Activities:
Service manager to assign activities to FSE in WFM",SAP WFM: Work Force Management (Application)
Schedule Service Assignment(Tasks) WFM,5.3.1.7 -PD Create Service Order ZMPD: PaiD 2.00,9,"Key Activities:
Service manager to assign service task to FSE",SAP WFM: Work Force Management (Application)
Scrap review,13.3.3.3.2F Scrap process 1.00,10,,SAP ZMM_GSNIA: Global GSN & IA (Application)
Search for new Service Orders type: ZMCO,5.3.1.7 -CO Create Service Order ZMCO: field Change Order 3.00,15,"ZMCO: Service Order Type: Change Order
Key Activities:
Search for newly created ZMCOUsing Power BI
select: Report ????
Using Fiori IW73: Display Service Order
Select:
- Search by: ""Plant"",
- Service Order :""ZMCO"",
- Status: ""CRTD"" (Created)","Power BI (Microsoft) (Application),
SAP IW73: Display Service Order (Application)"
Seek approval for near-term churns,4.1.2.3 -EQ Develop demand consensus forecast - Weekly Process 1.00,8,,
Select bidders,4.2.4.3 Solicit/Track Vendor Quotes 3.00,50,"Sources can be:
HVM
NPI
Manual upload
R&D/PLM,
MRP-no source
requote
spares
or manual execution of program (auto assignment of bidders)
(Custom RFQ Program)",Fiori ASM_Custom: Create RFQ (Application)
Select dunning letter to be sent,9.2.3.2 -DUN Receive/Deposit customer payments (Dunning) 1.00,11,FSS AR accountant to select the pre-dunning letter that needs to be sent to customer,Fiori F0711: Manage Customer Line Items for Accounts Receivable Accountant (Application)
Select pre-dunning letter to be sent,9.2.3.2 -DUN Receive/Deposit customer payments (Dunning) 1.00,5,FSS AR accountant to select the pre-dunning letter that needs to be sent to customer,Fiori F0711: Manage Customer Line Items for Accounts Receivable Accountant (Application)
Select sample of test procedures for testing reperformance,4.3.2.2B Execute detailed line schedule (Assembly Testing) 2.00,42,,
Select the required schedule,4.1.8.2C Create Calibration Plan and schedule 2.00,11,"Select the required schedule from the Scheduling List populated for the selected Maintenance plan.
Maintenance Scheduling screen.
Select the items that require maintenance as per the calibration scheduling plan.",Fiori IP10: Schedule Maintenance Plan (Application)
"Send /update FSM RMA acknowledgement incl, status of delivery (block or not)",5.3.2.6H Used / Unused Parts Return 1.00,3,"FSM: Field Service Managment (application)
RMA: Return Material Authorization
Key Activities:
Acknowledgement for Order creation, Order Approval, Order Rejection will be sent",SAP FSM: Field Service Management (Application)
Send consolidated financial group reports for review,9.3.4.8C Perform legal and management consolidation (Consolidation & Reporting) 1.00,13,,
Send cost estimate result to Change Control,9.1.2.4 -SO VC Perform product costing (VC Material) 1.00,4,,MS Outlook (Application)
Send Dunning Letter to Customer,9.2.3.2 -DUN Receive/Deposit customer payments (Dunning) 1.00,12,,
Send email for approval,9.3.2.4 -ACCRUAL Process period end adjustments (Accrual Engine) 1.00,5,Accounts Payable invoice accountant will download the accrual list and send to approver for review via email.,MS Outlook (Application)
Send emails to BIA report owners,13.8.10.1 Control BIA program 1.00,14,"The PBI Usage app register the usage of Power BI reports.
Report Owners from PBI reports with no or low usage will be asked if the BIA report can be made obsolete.",
Send emails to PBI report owners,13.8.10.1 Control BIA program 1.00,6,PBI report owners who haven't applied a sensitivity label are asked to enable it.,
Send equipment to supplier /Supplier Calibrate at ASM Site,4.3.3.1A 1-Calibrate Test Equipment(External) 2.00,6,,
Send final quotation to Customer by email,5.3.3.5 -PD Complete Service Order ZMPD: PaiD 1.00,29,,Email (Application)
Send final sales presentation deck to Corporate Director Global Sales Operations,3.5.2.3 R&C Manage sales/key account plan 1.00,12,,
Send follow up email,13.8.7B Create data models (Release BIA report) 1.00,24,"In this email a summary is given what else need to be done before publishing to Consumers (final release), often a couple of things need to be covered:",
Send ICRRB open item from S4 to Blackline,9.3.2.2 -OIM Process journal entries (Open Item Clearing & ICRRB) 1.00,2,"Batch job to send interface from S4 to Blackline.
ICRRB - Intercompany Resource Related Billing",SAP /BLACKLIN/BL13: BlackLine - Open Items Extract (Application)
Send Invoice/ Credit note to Customer,9.2.2.3 Transmit billing data to customer 1.00,4,FSS AR team will send the invoice/ credit note via email.,
Send mail remider every 7 days if ZMCO Service Order released > 7 days,5.3.1.7 -CO Create Service Order ZMCO: field Change Order 3.00,13,"ZMCO: Service order of Type Change Order
Key Activities:
Email remainder will be sent to Service Manager with CC to the boss of service manager.",
Send mail remider everyday if ZMCO Service Order released > 7 days,5.3.1.7 -CO Create Service Order ZMCO: field Change Order 3.00,9,"ZMCO: Service order of Type Change Order
Key Activities:
Email remainder will be sent to Service Manager with CC to the boss of service manager.",
Send material to ASM,13.3.3.1N Assess potential impact (Customer buy sell QN) 1.00,8,,
Send MRP Change Request,4.2.4.4B Distribute Purchase Order 2.00,29,,SAP ZMM_MRP_CR: MRP Change Request (Application)
Send notification to QN submitter,13.3.3.1 -IM Assess potential impact (Improvement-Manual QN) 1.00,13,,
Send part number and doc number for IT's follow-up with PLM and rectification,11.2.2.6B R&C Monitor and test regulatory compliance position and existing controls (EPI Export) 1.00,9,,
Send Payment Advice to Vendors via email,9.6.1.8 -PAY BATCH Process payments (Automatic Payment Run – Batch Job) 1.00,32,,MS Outlook (Application)
Send payment file to Bank,9.6.1.8 -PAY BATCH Process payments (Automatic Payment Run – Batch Job) 1.00,30,,TIS (Treasury Intelligence Solutions) (Application)
Send posted Invoice details to CTSI,9.6.1.3 -CTSI Audit invoices and key data in AP system (CTSI) 1.00,8,,SAP ZFI_CTSI: FEMS -Upload AP Invoice(CTSI) (Application)
Send Pre-Dunning Letter to Customer,9.2.3.2 -DUN Receive/Deposit customer payments (Dunning) 1.00,6,"All 3 party customers in the Business Partner (BP) to be allowed for dunning by default. However, Account Receivable Invoice Accountant will determine the selective customers required for actual dunning. [SMT1] [ES2] Account Receivable Invoice Accountant will check through the generated list of dunning reminder letters and send the reminders selectively manually",
Send Production Order to Manufacturing,4.3.2.2A Execute detailed line schedule (Production Order Assignment & Material Issue) 1.00,2,,
Send Purchase Order to Supplier and notify requisitioner,4.2.4.4B Distribute Purchase Order 2.00,6,,Fiori ME9F: Print Purchase Orders for Purchaser (Application)
Send QN closure notification to QN submititer,13.3.3.1E -MFG Assess potential impact (MFG QNs) 1.00,12,"An automatic email is generated when the QN is set to status ""Closed"" to the QN submitter to inform the QN submitter about the QN closure and the related
details",
Send RBA questionnaire request,3.5.2.4 Manage customer relationships 1.00,11,,
Send request to give Customer access to RBA online,3.5.2.4 Manage customer relationships 1.00,10,,
Send shortage list for SSD request into workflow system,4.3.2.5C Monitor and optimize production process (SSD) 1.00,23,"SSD: Shipment Specification Deviation
Automated process of sending shortage list of materials for a shipment request to workflow system based on the RFC interface called by Workflow. (Outbound interface)",
Send Signed FA form to GSS Analyst,5.3.3.5 -IQ Complete Service Order ZMIQ: Install & Qualification 1.00,22,"Key Activites:
Email soft copy of Signed FA form to GSS team
Hard copy to be collected by sales admin.",MS Outlook (Application)
send software package to requestor,13.8.1.1A Provide BIA training (Intake + installation PBI software) 1.00,13,"Send Power BI software package to the requestor and help with the installation.
After that the IT ticket will get closed.",Power BI (Microsoft) (Application)
