Tcode Name,Description
SAP ZEWM_KIT_REPORT: Kit Report,
SAP ZEWM_PICKSFO: Creation of Warehouse Tasks from SFO,
SAP ZEWM_RFID_ARCHIVE: RFID Archive,
SAP ZEWM_RFID_CHAMBER: RFID Chamber Interface,
SAP ZEWM_RFID_SCAN1: RFID Scan,
SAP ZEWM_RFID_SCAN2: Scan Container to Location,
SAP ZEWM_RFID_TRACK: RFID Tracking Report,
SAP ZEWM_RFUI_DOCK: RFUI Docking Process,
SAP ZEWM_RFUI_UNLOAD: RFUI Unloading Process,
SAP ZEXCESS: Excess Inventory Report,
SAP ZF002: Upload AP Inovice,
SAP ZF003: Post Invoices,
SAP ZF004: Park Document Upload Program,
SAP ZF006: Good receipt report for Pur Order,
SAP ZF007: AP Aging Report,
SAP ZF015: PPV Analysis Report,
SAP ZF016: A/R Aging Summary,
SAP ZF017: G/L upload,
SAP ZF018: AP Aging Report with payment block,
SAP ZF019: Monthly Fixed Asset Report,
SAP ZF020: APPROVER,
SAP ZF021: ASM Monthly Departmental Reporting,
SAP ZF022: ASM PL Reports,
SAP ZFA_WMD_EMAIL: Trigger Workitem Notification,
SAP ZFB70: Print financial documents,
SAP ZFDTA: Payment Medium Korea,
SAP ZFEMSAAG: Delivery Priority Report,
SAP ZFI_ARB_VEND_BNK: Vendor Bank Type,
SAP ZFI_ARIBA: Invoice to upload to Ariba,
SAP ZFI_BASTMT_POST: Set Bank Statement to Posted Status,
SAP ZFI_CAPEX: CAPEX Details,
SAP ZFI_CASH_BAL: Cash Balance Report,
SAP ZFI_CHRGBR: HSBC Charge Bearer,
SAP ZFI_CLEAR_GL: Mass Clearing of G/L Open Items,
SAP ZFI_CONTR_SUSP_SSD,
SAP ZFI_CTSI: FEMS -Upload AP Invoice(CTSI),
SAP ZFI_DCFORM: Print debit note - Customers Form,
SAP ZFI_DUPL_AP: Suspected Duplicate AP Inv. Report,
SAP ZFI_EDIGL: Maintenance Tcode for ZTMM_EDIGL,
SAP ZFI_F110XLS: Payment Proposal,
SAP ZFI_FA: Fixed Asset Report,
SAP ZFI_FA_RPT: FA Report,
SAP ZFI_FBL5N: AR Report Customer line items,
"SAP ZFI_FIXEDASSET: Fixed Asset with TTY, DEP and APC",
SAP ZFI_ICBAL_CONF: Intercompany Balance Confirmation,
SAP ZFI_ICPO_RPT: Interco Purchase - from MM,
SAP ZFI_JV_PRINT: Journal Entry Print-out,
SAP ZFI_MAT_PA_REP: Material Price Analysis Report,
SAP ZFI_POST_UTIL: RAR - Posting Utility,
SAP ZFI_PPRICE3: Planned Price 3 Update program,
SAP ZFI_RECEIPTS: Download Travel Expense Receipts,
SAP ZFI_STD_COST_BRK_REP: Std Cost Breakdwn Report for Buy Prt,
SAP ZFI_STDCOST_UPD: Material Cost and P-S Status Update,
SAP ZFI_SUSP_UNSUSPEND,
SAP ZFI_TREXP: ASM Finland Travel and Expense Repor,
SAP ZFI_UPL_BL: Upload to Blackline,
SAP ZFI_UPL_JOURNAL: Upload FI Journal,
SAP ZFI_VAR_REPORT: Variance Analysis Report,
SAP ZFI_WBS_FNBL: Set WBS to FNBL,
SAP ZFI_WBS_FNBL_PSG: Set FNBL WBS with PSG Settl. Rule,
SAP ZFI_WHT_ADJ: Adjustment of Withholding Tax Info,
SAP ZFI_WHT_RET: Withholding Tax Return,
SAP ZFICO: FI/CO Report Menu,
SAP ZFIFO: FIFO Unrealized / Buy Back report,
SAP ZFIGRTOBW: Outbound Group Reporting to BW,
SAP ZFIPL: P&L Report by Product Hierarchy,
SAP ZFIR_CUSTVATCHK: EU Customer VAT Validity Report,
SAP ZFIR0001: Vendor Email and Address Report,
SAP ZFIR0002: COGS In Transit Report,
SAP ZFIR0003: GR/IR Clearing Report,
SAP ZFIR0004: Released Blocked PO Invoice Report,
SAP ZFIR0005: Review Of Rejected Trip Posting Run,
SAP ZFIR0006: Compare WBS Profitability Segment,
SAP ZFIT_FARR_CROSS_COMP_POSTING,
SAP ZFITOCORIMA: Outbound Finance to Corima,
SAP ZFITV0001: Travel Management Status Report,
SAP ZFITV0002: Travel Management Aged Report,
SAP ZFITV0003: List of Emp Per-Diem & Mileage,
SAP ZFITV0004: Travel Special Relationship Maint.,
SAP ZFITV0005: Travel Approval Limit Maintenance,
SAP ZFITV0006: Travel Additional Email CC Maint.,
SAP ZFITV0007: List of Emp Expense Type Details,
SAP ZFIVF04: Delivery Related Billing Due List,
SAP ZFLOC: Functional Location List,"This function will be moved to Power BI
(RICEFW 2103)"
SAP ZFORH: Forecast Report,
SAP ZFPCN874: Israel VAT reporting,
SAP ZFREIGHT_COST: Freight Cost Report,
SAP ZFTXA: Display tax codes,
SAP ZG001: Trial Balance,
SAP ZG002: Balance Sheet,
SAP ZG003: Trial Balance (Movement),
SAP ZG004: Balance Sheet (Movement),
SAP ZG005: Balance Sheet (Periodic Comparsion),
SAP ZGP02: Income Statment (Monthly Trend),
SAP ZGP03: Income Statment (Quarterly Trend),
SAP ZGP05: Income Statment (Monthly Trend Com),
SAP ZGP06: P&L Report by Profit Center,
SAP ZGP07: P&L by profit center YTD Report,
SAP ZGRIR_BAL: GRIR Balance Report (by Month),
SAP ZGT01: Goods to Report for OPS,
SAP ZGTS_CLASS: Product Classification Report,
SAP ZGTS_HIGH_RISK_CUST: High Risk Customer Report,
SAP ZGTS_OPEN_DO: Open Delivery Order report,
SAP ZGTS_OPEN_SO: Open Sales Order Report,
SAP ZGTS_REL: GTS Release SO Rejection,
SAP ZGUIB: GUI menu,
SAP ZGUIB00: GUI All Year Prefix,
SAP ZGUIB01: GUI control table for FI,
SAP ZGUIB02: GUI control table for SD,
SAP ZGUIB03: GUI number assignment organization,
SAP ZGUIB04: Assign GUI number periodically - FI,
SAP ZGUIB05: Assign GUI number periodically - SD,
SAP ZGUIB06: GUI Output Tax detail report,
SAP ZGUIB07: GUI Output Tax Zero Percent T report,
SAP ZGUIB08: GUI Input tax fixed Asset report,
SAP ZGUIB09: GUIMedia Filing Report,
SAP ZGUIB10: Government Unified Invoice 401/403,
SAP ZGUIB21:,
SAP ZGUIB23: Vat master data,
SAP ZHCM_PAYADJ: SAP to Dayforce Pay Adjustment,
SAP ZHCM_PAYCODE_DF: Absence Type to Dayforce Paycode,
SAP ZHR_TM0002: Leave Synchronization with TMS,
SAP ZICBR: InterCompany Balance Report,
SAP ZICBR2: InterCompany Balance Report (AP),
SAP ZIH20: IBase Where-Used List,
SAP ZIM_HU_CREATE: Create and Print HU Label,
SAP ZIM_IND_TRACK: Indirect Tracking Report,
SAP ZIM_LOGS: Appropriation Request Approval Logs,
SAP ZIM_PICKLIST: Production Order Picklist,
SAP ZIM_RFID_IND: Print RFID Indirect,
SAP ZIM_TRACK_IND: Track Indirect,
SAP ZINV_REP: Invoice item list report,
SAP ZIPS_AGENT_ASSIGN: View Cluster For IPS Agents Assign,
SAP ZIPS_CLEAR_INDX: Clear IPS Ticket from table INDX,
SAP ZIQS8: Notifications + MB52 output,
SAP ZIW31: Create Order from Reference,
SAP ZLE_ HU_TRACKING: HU Tracking Report,
SAP ZLE_BPS_PACK: BPS Pack,
SAP ZLE_BPS_PACK_REPORT: BPS Packing List Report,
SAP ZLE_BPS_RCPT: BPS Receipt,
SAP ZLE_DELSHIP: Delivery and Shipment Report,
SAP ZLE_HU_STATUS: HU Tracking Report,
SAP ZLE_LABEL_COCKPIT: Print Pick Label,
SAP ZLT31: Mass TO Print,
SAP ZLX09: Overview of All Transf.Requirements,
SAP ZLX26: Inventory in WM via cycle counting,
SAP ZM01: open purchase orders,
SAP ZM01_ICPO: Report for Open/Closed PO (NEW),
SAP ZM01_PO: Report for Open/Closed PO,
SAP ZM03: Vendor List,
SAP ZM07: Material Shortage report for Product,
SAP ZM09: Storage Bin Label Print Program,
SAP ZM10: Material Master Query,
SAP ZM11: Material Master Query ver 2,
SAP ZM12: MM Field Update for Supersession/Obs,
SAP ZMASS_UPLOAD: Mass Upload Program MB1A and MB1B,
SAP ZMATBINCHK: Material-Bin Search,
SAP ZMATBOMCHK: Material-BOM Item Check,
SAP ZMATCESEARCH: Material Standard Cost Estimate,
SAP ZMATCONS: Material Consumption Report,
SAP ZMATCOST: Material Cost Query,
SAP ZMATCOSTSEARCH: Query Material Standard cost,
SAP ZMATEXT_SWH: Externd Material to Stor Loc and WH,
SAP ZMATHSCODE: Material Imp/Exp Codes by Country,
SAP ZMATINSPL_SYNC: Material Insp Plan Synchronization,
SAP ZMATNOQM: Vendor-Material No QM Inforec,
SAP ZMATOBS: Inventory Reserve/Obsolence Analysis,
SAP ZMATPLAN: Data for Material Planning,
SAP ZMATPURDAT: Material Purchasing Data,
SAP ZMATQM_SYNC: Material QM Data Synchronization,
SAP ZMATQUERY: Material Master Query,
SAP ZMATQUERY_NEW: Material Master Report (New):,
SAP ZMATRAW: Material Inventory - RAW,
SAP ZMATREV: Revisions for Material,
SAP ZMATSTAT: Material Status Check,
SAP ZMB001: Update Storage Bin,
SAP ZMB005: Upload Inspeaction Plan Info,
SAP ZMB007: Update PO Final Invoice,
SAP ZMB009: Change Single Field in Matl. Master,
SAP ZMB1B_311: Storage Location Transfer,
SAP ZMB1B_415Q: Storage Location Transfer,
SAP ZMB52: ASM Warehouse Stocks on Hand,
SAP ZMB52_BCV: BCV Stock Report Query fix with MB52,
SAP ZMB5B: Stocks for Posting Date,
SAP ZMB5T: Stock in transit CC,
SAP ZMCCVUPD: AROP: Correction for Material Cons.,
SAP ZMCLP: Print Material Cleaning Label,
SAP ZMD06: Transaction for ABAP RMMD06NEW,
SAP ZMD07: Transaction for ABAB RMMD07NEW,
SAP ZMD07EX: tcode for RMMD07EX,
SAP ZMD07NEW: tcode for RMMD07NEW,
SAP ZMD79: PP Demand Management (AVL),
SAP ZMDPIR: Mass Maint. of Planned ind. Req,
SAP ZMDTS: ASM-Intel Invoice Recon Report,
SAP ZMDUM: Convert Planned Orders into PReqs,
SAP ZME59N: Automatic Creation of Purchase Order,
SAP ZMFC: MFC Violation Report,
SAP ZMI01: Create Physical Inventory Document,
SAP ZMI01_MASS: Mass Creation of Physical Inv Doc,
SAP ZMI04: Enter Inventory Count with Document,
SAP ZMI05: Change Inventory Count,
SAP ZMI07: Process List of Differences,
SAP ZMIR7: Mass Release Parked Invoices,
SAP ZMKPF: MKPF Report,
SAP ZMLI: Maintenance for CRM cust. tables,
SAP ZMLIAPP: ZMLIAPP Table Maintenance,Maintenance for CRM cust. tables
SAP ZMLIPL: ZMLIPL Table Maintenance,Maintenance for CRM cust. tables
SAP ZMLIPM: ZMLIPM Table Maintenance,Maintenance for CRM cust. tables
SAP ZMLIPP: ZMLIPP Table Maintenance,Maintenance for CRM cust. tables
SAP ZMLIPR: ZMLIPR Table Maintenance,Maintenance for CRM cust. tables
SAP ZMLIPROC: ZMLIPROC Table Maintenance,Maintenance for CRM cust. tables
SAP ZMLIWS: ZMLIWMS Table Maintenance,Maintenance for CRM cust. tables
SAP ZMM_ARB_ASN_CTRL: Validate/Control ASN cre in Ariba,
SAP ZMM_ARB_ASN_DAYS: Maintain ASN days by supplier,
SAP ZMM_ARB_CUT_VEN: Ariba Cutover Vendor Migration,
SAP ZMM_ARB_EXDOC: Ariba PO - Maintain External Doc Typ,
SAP ZMM_ARB_GR_REP: GR Data Migration Report,
SAP ZMM_ARB_GRN_TRANS: Legacy GRN - Transfer to Ariba,
SAP ZMM_ARB_INV_REP: IR Data Migration Report,
SAP ZMM_ARB_INV_TRANS: Legacy Invoice - Transfer to Ariba,
SAP ZMM_ARB_PO_CUT: Ariba Legacy PO/Hist Docs Data Cutov,
SAP ZMM_ARB_PO_TRANS: Legacy PO - Transfer to Ariba,
SAP ZMM_ARB_VEN_ENB: Ariba Vendor Enablement,
SAP ZMM_AWARD_RFQ: Award RFQ,
SAP ZMM_AZTRAL_EMAIL: Display AZTRAL Email for Demand Prg.,
SAP ZMM_BIDDERS_LIST: Maintain Staging Table Bidders List,
SAP ZMM_BUYER_VEND_MAP: Ariba PO - Maintain External Doc Typ,
SAP ZMM_COMFIND: Commodity Finder,
SAP ZMM_DIR_IND_SPEND: Direct and Indirect Spend Report,
SAP ZMM_DMD_SUPP: Tcode for Demand vs Supply Report,
SAP ZMM_EVALPO_PURGE: EvalPO Purge,
SAP ZMM_EVALPO_REPT: Evaluation PO Report,
SAP ZMM_FREIGHT_UPD: Annual Freight Adder Update,
SAP ZMM_GR_SCANNER: PGR,
SAP ZMM_GSN_APPROVE_WF: Approver Scrren Via Workflow,
SAP ZMM_GSNIA: Global GSN & IA,GSN & IA: Goods Scrap Notification & Inventory Adjustment
SAP ZMM_GSNIA_APP: GSNIA Approval Matrix,
SAP ZMM_GSNIA_DISPLAY: Display GSIA Request,
SAP ZMM_GSNIA_MATRIX: Approval Matrix Report,
SAP ZMM_GSNIA_MD: Maintain GSNIA MD,
SAP ZMM_INV_STATUS: Inventory Status Report,
SAP ZMM_LABEL_REPRNT: Dynamic Menu,
SAP ZMM_LEGACY_CHECK: Material Master Legacy Check,
SAP ZMM_LOTSIZE: Update Material Lot Size,
SAP ZMM_MASS_PO_DEL: Mass PO Delete,
SAP ZMM_MAT_STATUS: Material Status Report,
SAP ZMM_MRP_CR: MRP Change Request,
SAP ZMM_MRP_MULTI_ITEM: MRP Run - Multiple Item,
SAP ZMM_MRPAREA: Material Overview for MRP Area,
SAP ZMM_MRPCR_POEXC: MRP Change Request PO Exclude,
SAP ZMM_OBSOLETE_CHECK: Material Master Obsolete Check,
SAP ZMM_OCDELETE: Delete Order Confirmation,
SAP ZMM_OPEN_PO: For Open PO Sap Query,
SAP ZMM_PAIR_MPRINTER: Transaction for Device Pairing,
SAP ZMM_PERMIT_PRINT: Message Output Permit Application,
SAP ZMM_PIR_CHG_AUDIT: PIR Change Audit Report,
SAP ZMM_PIRUP: Upload Attachment to Multiple PIRs,
SAP ZMM_PO_UPLOAD: PO Upload Program,
SAP ZMM_PO_ZECPCAEK: Reset new Profit Center for PO,
SAP ZMM_POCOND_UPD: PO Condition Update Program,
SAP ZMM_POPGRP_UPD: Update Purchase Order Purchasing Grp,
SAP ZMM_POPRICE_UPDATE: PO Price Update Program,
SAP ZMM_PR_MATRIX: PR Global Approval Matrix,
SAP ZMM_PRT_MATLABEL: Customized Material Label Print Prog,
SAP ZMM_PRT_MATLABEL_DM: Customized Material Label Print Prog,
SAP ZMM_PURGRP_UPD: Purchasing Group Mass Update,
SAP ZMM_RDPROJPO: R&D Project PO Report,
SAP ZMM_RETURN_VEND_SYNC: To sync vendor & customer master,
SAP ZMM_RFQ_Q: Upload Supplier Quotation,
SAP ZMM_SLVEN: Source List by Vendor,
SAP ZMM_SMRA_PRPO: SMRA PR & PO Creation,
SAP ZMM_SPARES_PR: Spares PR Inventory Report,
SAP ZMM_STDPRS_INQ: Standard Price Inquiry,
SAP ZMM_SUPP_REBATE: Supplier Rebate Tracking Report,
SAP ZMM_TVARVC_LABEL: Table of Variant Variables,
SAP ZMM_VEND_CHLOG: Change Log: Vendor Master Request,
SAP ZMM_VEND_MGMT: Vendor Master Management,
SAP ZMM_VEND_REPORT: Vendor Master Management Report,
SAP ZMM_VEND_WFAPPR: Maintain Vendor Master Approval,
SAP ZMM_VEND_WFLOG: Approval Log: Vendor Master Request,
SAP ZMM_VENDPUR: ASM Vendor - Buyer Mapping,
SAP ZMMF_DN: Delivey Check Note program,
SAP ZMMF_DN_NEW: NEW - Delivery Note Report,
SAP ZMMI_UPCONF: Update PO Confirmation from File,
SAP ZMMI_UPDLVTXT: PO Item Delivery Text Upload,
SAP ZMMMPN: Material detail with Mfr part No.,
SAP ZMMPDT_SPARES: MM PDT update for Spares,
SAP ZMMR_EOL: Material End-of-Life Report,
SAP ZMMR_KFR: Kit Fill Rate - Report,
SAP ZMMR_MAP: Baseline for the Spares Cost Down,
SAP ZMMR_OPENPR: Open Purchase Requisitions,
SAP ZMMR_PIR: Purchase Info Record Mass Update,
SAP ZMMR_PO_SCHED_CHANGE: PO schedule update,
SAP ZMMR_POCHG: Open PO Changes,
SAP ZMMR_PR_UPLOAD: Upload Program for PR Creation,
SAP ZMMR_PRICECHG: List of PO with Price Changes,
SAP ZMMR_RCHG: Routing Changes,
SAP ZMMR_SOURCELIST: Source List Mass Update,
SAP ZMMTEXT: MM - PO Text Extraction,
SAP ZMOQTOPDT: Sync Fixed PIR MOQ to MM PDT,
SAP ZMR001: PO release status report,
SAP ZMR002: Inventory Report,
SAP ZMR003: Inquiry of PR,
SAP ZMR004: Demand Supply Report,
SAP ZMR005: Indirect PO Analysis Report,
SAP ZMR006: DIRECT PO PERFOMANCE ANALYST,
SAP ZMR007: Inventory Report (For Finance),
SAP ZMR008: Purchase Info Record Details (SQ01),
SAP ZMR009: Purchasing Report,
SAP ZMR010: PO With Cost Center Details,
SAP ZMR012: Dead Stock Report,
SAP ZMR014: Purchase Info Rec with price,
SAP ZMR014N: Purchase Info Record Details wPrice,
SAP ZMR014N_1: Purchase Info Record Details wPrice,
SAP ZMR015: Multi Level Multiple Mat Where Use,
SAP ZMR016: Mat. Demand supply report (Std. Cst),
SAP ZMR016N: Material Demand Supplier Report(New),
SAP ZMR017: Discont. & Follow-Up Supply Report,
SAP ZMR018: MRP Exceptions for Purchasing,
SAP ZMR020: MRP Exceptions for Planning,
SAP ZMR021: Material Procurement Keys Report,
SAP ZMR022: FEMS MM MRP Data Analysis,
SAP ZMR025: ASA report,
SAP ZMR20: PO Confirmation Interface,
SAP ZMRBR: Report Blocked Invoices,
SAP ZMRP_AREA: Mass Process of MRP Areas,
SAP ZNOBILREQ: List of TECOed Srv Ord w/o Bil Req.,
SAP ZNOMFGCOST: Check Spares With No Mfg Cost,
SAP ZNOSPECO: Spares with no Sp. Ent. Co.,
SAP ZNWC_GI: AUTO GI Network Orders,
SAP ZNWC_UPDT: Update Network Order Component Data,
SAP ZOPENPO: open purchase orders,
SAP ZORDER_PRICING: Sales Orders Pricing Report,
SAP ZP01: Batch Upload of BOM,
SAP ZP02: Batch Upload of Routing,
SAP ZP04: Batch Upload of Revision,
SAP ZP13: BOM Listing,
SAP ZP16: BOM Item and Parent Material Search,
SAP ZP17: Multiple/Multi-level BOM Where-use,
SAP ZP19: ECO Data Analysis Requirement Report,
SAP ZP22: BOM Auto Assign,
SAP ZP23: BOM Item Phantom Check,
SAP ZPA_HCM_ADEXTRACT: Extract HCM data to Active Directory,
SAP ZPAY_NEW: SAP to Ceridian TimeSheet data xport,
SAP ZPAY_UPD: Modify ZPAYROLL_CFG,
SAP ZPB003: Mass change production order header,Customized version of standard T-code COHV
SAP ZPFA: Procurement Forecast,
SAP ZPIR_2: PIR Update 2,
SAP ZPIR_ACC: PIR Accuracy Report,
SAP ZPIRCHG: PIR Change History,
SAP ZPIRSL_CPL: PIR and SL Completeness Check,
SAP ZPIV: PI - Var report generation,
SAP ZPLM_ALTDATE_ASSIGN: Alternative Date Assignment,
SAP ZPLM_BOM_CAD_IND: EBOM CAD Indicator Maintenance,
SAP ZPLM_BOMREDLINE: PLM BOM Redline,
SAP ZPLM_CREATE_IPSTK: Create IPS ticket,
SAP ZPLM_ER_DETAILS: ER Change Item Report,
SAP ZPLM_ER_STAT_CHG: ER Status Manual Change,
SAP ZPLM_ERDELOBJ: Deleted objects in Engineering Recor,
SAP ZPLM_MM_DETAILS: Material Master Details,
SAP ZPLM_MPN: Manufacturer Part Numbers,
SAP ZPLM_PDRR: Product Data Readiness Report,
SAP ZPLM_PSM_ERSYNC: Sync PSM Objects from ECN to ECR,
SAP ZPLM_PSM_OMR:Missing PSM OMR in Change Master,
SAP ZPLM_PVL_COPY: PLM Copy PVL from Reference User,
SAP ZPLM_QPR_EXTRACT: QPR Data extract,
SAP ZPLM_VE_FLD: PLM 3DVE Sensitive Fields Config,
SAP ZPO_CUS1:,
SAP ZPO_LEADTIME: ASM Purchase Order Ld Time Analysis,
SAP ZPO_SEND: Send Purchase Order to Vendor,
SAP ZPO_SEND_ASME: ASME Send Purchase Order to Vendor,
SAP ZPO_SEND_ASMGK: ASMGK Send PO to Vendors,
SAP ZPO_SENDSTAT: FEMS PO Email Send Status,
SAP ZPO_UPD_TRACKNO: Update Open PO Tracking Number,
SAP ZPOC: Production Order Confirmation,
SAP ZPODLV_CHANGE: Open PO Delivery Date Change,
SAP ZPOLIST: PO List,
SAP ZPOMRP: Open PO extraction from MRP list,
SAP ZPOR: Production Order Material Shortages,
SAP ZPOREV_CHANGE: PO Revision Change,
SAP ZPOSCV: Open PO's Committed by Vendors,
SAP ZPOTL: Touchless PO Report,
SAP ZPP_AUTODROP_REQMT: Auto Drop Requirement (Forecast),
SAP ZPP_AUTOGI_WBS: Transaction for SFO-WBS Auto GI,
SAP ZPP_AUTOPV_CREATE: Auto Production Version Creation,
SAP ZPP_BLOCK: Exclude Material from Planning,
SAP ZPP_BOM_CHANGES: BOM Changes Log,
SAP ZPP_COMP_ALLOC: Compare Allocations Based on REF,
SAP ZPP_CS14: BOM Comparison Report,
SAP ZPP_DRUMBEAT: Custom table for Drumbeat setup,
"SAP ZPP_LTP_HIST: Plan Ind. Req, History Report (LTP)",
SAP ZPP_MMEXTEND: Material Master Auto-Extension,
SAP ZPP_MR: Mass Create/Delete Mat Reservation,
SAP ZPP_MRPC_UPDATE: MRP Controller Update,
SAP ZPP_PIR_DATE_CHANGE: Demand Requirement Date Update,
SAP ZPP_PRODORD_CHANGES: Production Order Changes,
SAP ZPP_UNTECO_ORD: Production Order UN-TECO Report,
SAP ZPPR_MAT_MARC: Material Master - MARC,
SAP ZPR_SEND: Send Purchase Requisition to Buyers,
SAP ZPR001: Routing,
SAP ZPR004: Multi-Level BOM Explosion,
SAP ZPR005: Prod. Ord. Conf. Hour,
SAP ZPR007: Planned Order Report ( No Routing ),
SAP ZPR008: Prod. order component not issued,
SAP ZPR010: Work center hours report,
SAP ZPR012: Production Order WIP Tracking,
SAP ZPR014: Work Center Loadng Report,
SAP ZPR015: Data for Material Planning,
SAP ZPR015_CM: Data for Material Planning,
SAP ZPR016: List of Planned Orders,
SAP ZPR016_NEW: List of Plan Order Forecasting,
SAP ZPR017: List of Obsolete BOM Parts,
SAP ZPR018: BOM Report + ASM Basic Data,
SAP ZPR019: Material Supply Status Report,
SAP ZPR021: BOM Query,
SAP ZPR025: Multiple Material - Summarized BOM,
SAP ZPR026: BPS Packing List,
SAP ZPR028: FEMS: Production Order - Variance Re,
SAP ZPR036: Mass GI to Cost Center,
SAP ZPR21: Material Report for Prod. Orders,
SAP ZPR23: BOM-Routing Report,
SAP ZPR24: Routing & Production Version Check,
SAP ZPREPOST: FEMS: Prepost Calculation,
SAP ZPS01: Checking on PS Sett Rule and RA Key,
SAP ZPSNW_PICKLIST: Network Picking List,
SAP ZPT_REPORT: Timesheet Report - Production Order,
SAP ZPTE: Production Time Sheet - End Work,
SAP ZPTS: Production Time Sheet - Start Work,
SAP ZQ002: Scrapped Parts Report,
SAP ZQ003: Rework Cost Report,
SAP ZQC_CECRIT: QM CE and Crititcal Part Analysis,
SAP ZQIR_COMPLETE:QIR Auto Complete,
